id,name,latitude_deg,longitude_deg,municipality,iata_code
#meta +id,#loc +airport +name,#geo +lat,#geo +lon,#loc +municipality +name,#loc +airport +code +iata
3632,Los Angeles International Airport,33.94250107,-118.4079971,Los Angeles,LAX
3622,John F Kennedy International Airport,40.63980103,-73.77890015,New York,JFK
3754,Chicago O'Hare International Airport,41.97859955,-87.90480042,Chicago,ORD
3384,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Atlanta,ATL
3878,San Francisco International Airport,37.61899948,-122.375,San Francisco,SFO
3521,Newark Liberty International Airport,40.69250107,-74.16870117,Newark,EWR
3631,McCarran International Airport,36.08010101,-115.1520004,Las Vegas,LAS
3488,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Dallas-Fort Worth,DFW
3670,Orlando International Airport,28.42939949,-81.30899811,Orlando,MCO
3486,Denver International Airport,39.86169815,-104.6729965,Denver,DEN
3685,Miami International Airport,25.79319954,-80.29060364,Miami,MIA
3643,La Guardia Airport,40.77719879,-73.87259674,New York,LGA
3602,Washington Dulles International Airport,38.94449997,-77.45580292,Washington,IAD
3875,Seattle Tacoma International Airport,47.44900131,-122.3089981,Seattle,SEA
3772,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,Phoenix,PHX
3422,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Boston,BOS
3771,Philadelphia International Airport,39.87189865,-75.2410965,Philadelphia,PHL
3604,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,Houston,IAH
3457,Charlotte Douglas International Airport,35.2140007,-80.94309998,Charlotte,CLT
3483,Ronald Reagan Washington National Airport,38.8521,-77.037697,Washington,DCA
3497,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,Detroit,DTW
3709,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88199997,-93.22180176,Minneapolis,MSP
3862,San Diego International Airport,32.73360062,-117.1900024,San Diego,SAN
3531,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Fort Lauderdale,FLL
3887,Salt Lake City International Airport,40.78839874,-111.9779968,Salt Lake City,SLC
3905,St Louis Lambert International Airport,38.748697,-90.370003,St Louis,STL
3673,Chicago Midway International Airport,41.7859993,-87.75240326,Chicago,MDW
5453,Daniel K Inouye International Airport,21.32062,-157.924228,Honolulu,HNL
3435,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,Baltimore,BWI
3768,Portland International Airport,45.58869934,-122.5979996,Portland,PDX
3926,Tampa International Airport,27.97550011,-82.53320313,Tampa,TPA
3471,Cincinnati Northern Kentucky International Airport,39.04880142,-84.6678009,Cincinnati,CVG
3711,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,New Orleans,MSY
3744,Metropolitan Oakland International Airport,37.721298,-122.221001,Oakland,OAK
3778,Pittsburgh International Airport,40.49150085,-80.23290253,Pittsburgh,PIT
3386,Austin Bergstrom International Airport,30.19449997,-97.66989899,Austin,AUS
3883,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,San Jose,SJC
3844,Raleigh Durham International Airport,35.87760162,-78.78749847,Raleigh/Durham,RDU
3420,Nashville International Airport,36.12450027,-86.67819977,Nashville,BNA
3675,Memphis International Airport,35.04240036,-89.97669983,Memphis,MEM
3863,San Antonio International Airport,29.53370094,-98.46980286,San Antonio,SAT
3894,John Wayne Airport-Orange County Airport,33.67570114,-117.8679962,Santa Ana,SNA
3668,Kansas City International Airport,39.2976,-94.713898,Kansas City,MCI
3588,William P Hobby Airport,29.64539909,-95.27890015,Houston,HOU
3454,Cleveland Hopkins International Airport,41.4117012,-81.84980011,Cleveland,CLE
3610,Indianapolis International Airport,39.7173,-86.294403,Indianapolis,IND
3479,Dallas Love Field,32.847099,-96.851799,Dallas,DAL
16091,Albuquerque International Sunport Airport,35.040199,-106.609001,Albuquerque,ABQ
3690,General Mitchell International Airport,42.94720078,-87.89659882,Milwaukee,MKE
3458,Port Columbus International Airport,39.9980011,-82.89189911,Columbus,CMH
3932,Tucson International Airport,32.11610031,-110.9410019,Tucson,TUS
3431,Buffalo Niagara International Airport,42.94049835,-78.73220062,Buffalo,BUF
5388,Ted Stevens Anchorage International Airport,61.17440033,-149.9960022,Anchorage,ANC
3620,Jacksonville International Airport,30.49410057,-81.68789673,Jacksonville,JAX
3396,Bradley International Airport,41.93889999,-72.68319702,Hartford,BDL
3766,Palm Beach International Airport,26.68320084,-80.09559631,West Palm Beach,PBI
3512,El Paso International Airport,31.80719948,-106.3779984,El Paso,ELP
3747,Will Rogers World Airport,35.39310074,-97.60070038,Oklahoma City,OKC
5455,Kahului Airport,20.8986,-156.429993,Kahului,OGG
3892,Sacramento International Airport,38.69540024,-121.5910034,Sacramento,SMF
3755,Norfolk International Airport,36.89459991,-76.20120239,Norfolk,ORF
3853,Reno Tahoe International Airport,39.49909973,-119.7679977,Reno,RNO
3432,Bob Hope Airport,34.20069885,-118.3590012,Burbank,BUR
3644,Long Beach /Daugherty Field/ Airport,33.81769943,-118.1520004,Long Beach,LGB
3795,Theodore Francis Green State Airport,41.73260117,-71.42040253,Providence,PVD
3757,Wittman Regional Airport,43.9844017,-88.55699921,Oshkosh,OSH
3751,Eppley Airfield,41.30319977,-95.89409637,Omaha,OMA
3873,Louisville International Standiford Field,38.1744,-85.736,Louisville,SDF
3752,Ontario International Airport,34.05599976,-117.6009979,Ontario,ONT
